"","TITRE","sortie","Y"
"1","007 SPECTRE",2015-11-11,4813082
"2","10 JOURS SANS MAMAN",2020-02-19,1184054
"3","11 COMMANDEMENTS (LES)",2004-02-04,2955848
"4","12 YEARS A SLAVE",2014-01-22,1713834
"5","17 ANS ENCORE",2009-04-22,1009916
"6","1917",2020-01-15,2227282
"7","20 ANS D'ECART",2013-03-06,1402768
"8","2012",2009-11-11,4579371
"9","30 JOURS MAX",2020-10-14,1142154
"10","300",2007-03-21,1652832
"11","300 : LA NAISSANCE D'UN EMPIRE",2014-03-05,1562138
"12","36 QUAI DES ORFEVRES",2004-11-24,1683871
"13","4 FANTASTIQUES (LES)",2005-07-20,2215755
"14","4 FANTASTIQUES (LES)",2015-08-05,1204400
"15","4 FANTASTIQUES ET LE SURFER D'ARGENT (LES)",2007-08-08,1661110
"16","5EME VAGUE (LA)",2016-01-27,1002794
"17","7 ANS DE MARIAGE...",2003-06-25,1626322
"18","8 MILE",2003-02-26,2240719
"19","8 SALOPARDS (LES)",2016-01-06,1775995
"20","9 MOIS FERME",2013-10-16,1986001
"21","99 FRANCS",2007-09-26,1230655
"22","A BRAS OUVERTS",2017-04-05,1028055
"23","A LA CROISEE DES MONDES : LA BOUSSOLE D'OR",2007-12-05,2286993
"24","A STAR IS BORN",2018-10-03,1878526
"25","ABOMINABLE",2019-10-23,1988388
"26","AD ASTRA",2019-09-18,1051882
"27","ADIEU LES CONS",2020-10-21,1286046
"28","ADOPTE UN VEUF",2016-04-20,1089364
"29","AFTER - CHAPITRE 1",2019-04-17,1227983
"30","AFTER EARTH",2013-06-05,1275654
"31","AGATHE CLÉRY",2008-12-03,1085445
"32","AGE DE GLACE : LES LOIS DE L'UNIVERS (L')",2016-07-13,3500331
"33","AGE DE GLACE 2 (L')",2006-04-05,6620564
"34","AGE DE GLACE 3 LE TEMPS DES DINOSAURES (L')",2009-07-03,7831762
"35","AGE DE GLACE 4 : LA DERIVE DES CONTINENTS (LA)",2012-06-27,6635367
"36","AGENCE TOUS RISQUES (L')",2010-06-16,1188538
"37","ALAD 2",2018-10-03,2346564
"38","ALADDIN",2019-05-22,2456572
"39","ALCESTE A BICYCLETTE",2013-01-16,1167342
"40","ALEXANDRE",2005-01-05,1246093
"41","ALIBI.COM",2017-02-15,3600764
"42","ALICE AU PAYS DES MERVEILLES",2010-03-24,4432143
"43","ALICE DE L'AUTRE COTE DU MIROIR",2016-06-01,1347933
"44","ALIEN COVENANT",2017-05-10,1266347
"45","ALINE",2021-11-10,1276629
"46","ALITA : BATTLE ANGEL",2019-02-13,2042913
"47","ALVIN ET LES CHIPMUNKS : A FOND LA CAISSE",2016-02-03,1799219
"48","ALVIN ET LES CHIPMUNKS 3",2011-12-21,2442359
"49","AMERICAN GANGSTER",2007-11-14,1169200
"50","AMERICAN NIGHTMARE 4 LES ORIGINES",2018-07-04,1030240
"51","AMERICAN PIE 4",2012-05-02,1516198
"52","AMERICAN PIE:THE WEDDING",2003-10-15,1912589
"53","AMERICAN SNIPER",2015-02-18,3132953
"54","AMOUR C'EST MIEUX A DEUX (L') (EX L'HOMME QUI MURMURAIT A L'OREILLE DES FEMMES)",2010-05-05,1118481
"55","ANGES & DEMONS",2009-05-13,2038296
"56","ANIMAUX & CIE",2011-02-09,1033542
"57","ANIMAUX FANTASTIQUES (LES)",2016-11-16,3814720
"58","ANIMAUX FANTASTIQUES (LES) : LES CRIMES DE GRINDELWALD",2018-11-14,3855470
"59","ANNABELLE",2014-10-08,1542856
"60","ANNABELLE 2 LA CREATION DU MAL",2017-08-09,1246057
"61","ANT-MAN",2015-07-14,1721905
"62","ANT-MAN ET LA GUEPE",2018-07-18,1804606
"63","APPRENTI SORCIER (L')",2010-08-11,1656693
"64","AQUAMAN",2018-12-19,3296844
"65","ARGO",2012-11-07,1154807
"66","ARNACOEUR (L')",2010-03-17,3779109
"67","ARRETE MOI SI TU PEUX",2003-02-12,3596056
"68","ARSENE LUPIN",2004-10-13,1178716
"69","ARTHUR 3 ET LA GUERRE DES DEUX MONDES",2010-10-13,3099514
"70","ARTHUR ET LA VENGEANCE DE MALTAZARD",2009-12-02,3534777
"71","ARTHUR ET LES MINIMOYS (EX : ARTHUR)",2006-12-13,6374061
"72","ASSASSIN'S CREED",2016-12-21,1252681
"73","ASTÉRIX AUX JEUX OLYMPIQUES",2008-01-30,6806837
