"","x"
"1","away_team_goal"
"2","Home_buildUpPlaySpeed"
"3","Home_buildUpPlaySpeedClass"
"4","Home_buildUpPlayDribblingClass"
"5","Home_buildUpPlayPassing"
"6","Home_buildUpPlayPassingClass"
"7","Home_buildUpPlayPositioningClass"
"8","Home_chanceCreationPassing"
"9","Home_chanceCreationPassingClass"
"10","Home_chanceCreationCrossing"
"11","Home_chanceCreationCrossingClass"
"12","Home_chanceCreationShooting"
"13","Home_chanceCreationShootingClass"
"14","Home_chanceCreationPositioningClass"
"15","Home_defencePressure"
"16","Home_defencePressureClass"
"17","Home_defenceAggression"
"18","Home_defenceAggressionClass"
"19","Home_defenceTeamWidth"
"20","Home_defenceTeamWidthClass"
"21","Home_defenceDefenderLineClass"
"22","Away_buildUpPlaySpeed"
"23","Away_buildUpPlaySpeedClass"
"24","Away_buildUpPlayDribblingClass"
"25","Away_buildUpPlayPassing"
"26","Away_buildUpPlayPassingClass"
"27","Away_buildUpPlayPositioningClass"
"28","Away_chanceCreationPassing"
"29","Away_chanceCreationPassingClass"
"30","Away_chanceCreationCrossing"
"31","Away_chanceCreationCrossingClass"
"32","Away_chanceCreationShooting"
"33","Away_chanceCreationShootingClass"
"34","Away_chanceCreationPositioningClass"
"35","Away_defencePressure"
"36","Away_defencePressureClass"
"37","Away_defenceAggression"
"38","Away_defenceAggressionClass"
"39","Away_defenceTeamWidth"
"40","Away_defenceTeamWidthClass"
"41","Away_defenceDefenderLineClass"
"42","H1_overall_rating"
"43","H1_potential"
"44","H1_preferred_foot"
"45","H1_attacking_work_rate"
"46","H1_defensive_work_rate"
"47","H1_crossing"
"48","H1_finishing"
"49","H1_heading_accuracy"
"50","H1_short_passing"
"51","H1_volleys"
"52","H1_dribbling"
"53","H1_curve"
"54","H1_free_kick_accuracy"
"55","H1_long_passing"
"56","H1_ball_control"
"57","H1_acceleration"
"58","H1_sprint_speed"
"59","H1_agility"
"60","H1_reactions"
"61","H1_balance"
"62","H1_shot_power"
"63","H1_jumping"
"64","H1_stamina"
"65","H1_strength"
"66","H1_long_shots"
"67","H1_aggression"
"68","H1_interceptions"
"69","H1_positioning"
"70","H1_vision"
