"","x"
"1","id"
"2","country_id"
"3","league_id"
"4","season"
"5","stage"
"6","date"
"7","match_api_id"
"8","home_team_api_id"
"9","away_team_api_id"
"10","home_team_goal"
"11","away_team_goal"
"12","home_player_1"
"13","home_player_2"
"14","home_player_3"
"15","home_player_4"
"16","home_player_5"
"17","home_player_6"
"18","home_player_7"
"19","home_player_8"
"20","home_player_9"
"21","home_player_10"
"22","home_player_11"
"23","away_player_1"
"24","away_player_2"
"25","away_player_3"
"26","away_player_4"
"27","away_player_5"
"28","away_player_6"
"29","away_player_7"
"30","away_player_8"
"31","away_player_9"
"32","away_player_10"
"33","away_player_11"
"34","goal"
"35","shoton"
"36","shotoff"
"37","foulcommit"
"38","card"
"39","cross"
"40","corner"
"41","possession"
"42","B365H"
"43","B365D"
"44","B365A"
"45","BWH"
"46","BWD"
"47","BWA"
"48","IWH"
"49","IWD"
"50","IWA"
"51","LBH"
"52","LBD"
"53","LBA"
"54","PSH"
"55","PSD"
"56","PSA"
"57","WHH"
"58","WHD"
"59","WHA"
"60","SJH"
"61","SJD"
"62","SJA"
"63","VCH"
"64","VCD"
"65","VCA"
"66","GBH"
"67","GBD"
"68","GBA"
"69","BSH"
"70","BSD"
"71","BSA"
"72","Home_buildUpPlaySpeed"
"73","Home_buildUpPlaySpeedClass"
"74","Home_buildUpPlayDribbling"
"75","Home_buildUpPlayDribblingClass"
"76","Home_buildUpPlayPassing"
"77","Home_buildUpPlayPassingClass"
"78","Home_buildUpPlayPositioningClass"
"79","Home_chanceCreationPassing"
"80","Home_chanceCreationPassingClass"
"81","Home_chanceCreationCrossing"
"82","Home_chanceCreationCrossingClass"
"83","Home_chanceCreationShooting"
"84","Home_chanceCreationShootingClass"
"85","Home_chanceCreationPositioningClass"
"86","Home_defencePressure"
"87","Home_defencePressureClass"
"88","Home_defenceAggression"
"89","Home_defenceAggressionClass"
"90","Home_defenceTeamWidth"
"91","Home_defenceTeamWidthClass"
"92","Home_defenceDefenderLineClass"
"93","Away_buildUpPlaySpeed"
"94","Away_buildUpPlaySpeedClass"
"95","Away_buildUpPlayDribbling"
"96","Away_buildUpPlayDribblingClass"
"97","Away_buildUpPlayPassing"
"98","Away_buildUpPlayPassingClass"
"99","Away_buildUpPlayPositioningClass"
"100","Away_chanceCreationPassing"
"101","Away_chanceCreationPassingClass"
"102","Away_chanceCreationCrossing"
"103","Away_chanceCreationCrossingClass"
"104","Away_chanceCreationShooting"
"105","Away_chanceCreationShootingClass"
"106","Away_chanceCreationPositioningClass"
"107","Away_defencePressure"
"108","Away_defencePressureClass"
"109","Away_defenceAggression"
"110","Away_defenceAggressionClass"
"111","Away_defenceTeamWidth"
"112","Away_defenceTeamWidthClass"
"113","Away_defenceDefenderLineClass"
"114","H1_overall_rating"
"115","H1_potential"
"116","H1_preferred_foot"
"117","H1_attacking_work_rate"
"118","H1_defensive_work_rate"
"119","H1_crossing"
"120","H1_finishing"
"121","H1_heading_accuracy"
"122","H1_short_passing"
"123","H1_volleys"
"124","H1_dribbling"
"125","H1_curve"
"126","H1_free_kick_accuracy"
"127","H1_long_passing"
"128","H1_ball_control"
"129","H1_acceleration"
"130","H1_sprint_speed"
"131","H1_agility"
"132","H1_reactions"
"133","H1_balance"
"134","H1_shot_power"
"135","H1_jumping"
"136","H1_stamina"
"137","H1_strength"
"138","H1_long_shots"
"139","H1_aggression"
"140","H1_interceptions"
"141","H1_positioning"
"142","H1_vision"
"143","H1_penalties"
"144","H1_marking"
"145","H1_standing_tackle"
"146","H1_sliding_tackle"
"147","H1_gk_diving"
"148","H1_gk_handling"
"149","H1_gk_kicking"
"150","H1_gk_positioning"
"151","H1_gk_reflexes"
"152","A1_overall_rating"
"153","A1_potential"
"154","A1_preferred_foot"
"155","A1_attacking_work_rate"
"156","A1_defensive_work_rate"
"157","A1_crossing"
"158","A1_finishing"
"159","A1_heading_accuracy"
"160","A1_short_passing"
"161","A1_volleys"
"162","A1_dribbling"
"163","A1_curve"
"164","A1_free_kick_accuracy"
"165","A1_long_passing"
"166","A1_ball_control"
"167","A1_acceleration"
"168","A1_sprint_speed"
"169","A1_agility"
"170","A1_reactions"
"171","A1_balance"
"172","A1_shot_power"
"173","A1_jumping"
"174","A1_stamina"
"175","A1_strength"
"176","A1_long_shots"
"177","A1_aggression"
"178","A1_interceptions"
"179","A1_positioning"
"180","A1_vision"
"181","A1_penalties"
"182","A1_marking"
"183","A1_standing_tackle"
"184","A1_sliding_tackle"
"185","A1_gk_diving"
"186","A1_gk_handling"
"187","A1_gk_kicking"
"188","A1_gk_positioning"
"189","A1_gk_reflexes"
"190","H1_player_name"
"191","H1_birthday"
"192","H1_height"
"193","H1_weight"
"194","A1_player_name"
