"","x"
"Home_buildUpPlaySpeed",1140
"Home_buildUpPlaySpeedClass",1140
"Home_buildUpPlayDribbling",2660
"Home_buildUpPlayDribblingClass",1140
"Home_buildUpPlayPassing",1140
"Home_buildUpPlayPassingClass",1140
"Home_buildUpPlayPositioningClass",1140
"Home_chanceCreationPassing",1140
"Home_chanceCreationPassingClass",1140
"Home_chanceCreationCrossing",1140
"Home_chanceCreationCrossingClass",1140
"Home_chanceCreationShooting",1140
"Home_chanceCreationShootingClass",1140
"Home_chanceCreationPositioningClass",1140
"Home_defencePressure",1140
"Home_defencePressureClass",1140
"Home_defenceAggression",1140
"Home_defenceAggressionClass",1140
"Home_defenceTeamWidth",1140
"Home_defenceTeamWidthClass",1140
"Home_defenceDefenderLineClass",1140
"Away_buildUpPlaySpeed",1140
"Away_buildUpPlaySpeedClass",1140
"Away_buildUpPlayDribbling",2660
"Away_buildUpPlayDribblingClass",1140
"Away_buildUpPlayPassing",1140
"Away_buildUpPlayPassingClass",1140
"Away_buildUpPlayPositioningClass",1140
"Away_chanceCreationPassing",1140
"Away_chanceCreationPassingClass",1140
"Away_chanceCreationCrossing",1140
"Away_chanceCreationCrossingClass",1140
"Away_chanceCreationShooting",1140
"Away_chanceCreationShootingClass",1140
"Away_chanceCreationPositioningClass",1140
"Away_defencePressure",1140
"Away_defencePressureClass",1140
"Away_defenceAggression",1140
"Away_defenceAggressionClass",1140
"Away_defenceTeamWidth",1140
"Away_defenceTeamWidthClass",1140
"Away_defenceDefenderLineClass",1140
"H1_overall_rating",38
"H1_potential",38
"H1_preferred_foot",38
"H1_attacking_work_rate",42
"H1_defensive_work_rate",38
"H1_crossing",38
"H1_finishing",38
"H1_heading_accuracy",38
"H1_short_passing",38
"H1_volleys",40
"H1_dribbling",38
"H1_curve",40
"H1_free_kick_accuracy",38
"H1_long_passing",38
"H1_ball_control",38
"H1_acceleration",38
"H1_sprint_speed",38
"H1_agility",40
"H1_reactions",38
"H1_balance",40
"H1_shot_power",38
"H1_jumping",40
"H1_stamina",38
"H1_strength",38
"H1_long_shots",38
"H1_aggression",38
"H1_interceptions",38
"H1_positioning",38
"H1_vision",40
"H1_penalties",38
"H1_marking",38
"H1_standing_tackle",38
"H1_sliding_tackle",40
"H1_gk_diving",38
"H1_gk_handling",38
"H1_gk_kicking",38
"H1_gk_positioning",38
"H1_gk_reflexes",38
"A1_overall_rating",36
"A1_potential",36
"A1_preferred_foot",36
"A1_attacking_work_rate",40
"A1_defensive_work_rate",36
"A1_crossing",36
"A1_finishing",36
"A1_heading_accuracy",36
"A1_short_passing",36
"A1_volleys",39
"A1_dribbling",36
"A1_curve",39
"A1_free_kick_accuracy",36
"A1_long_passing",36
"A1_ball_control",36
"A1_acceleration",36
"A1_sprint_speed",36
"A1_agility",39
"A1_reactions",36
"A1_balance",39
"A1_shot_power",36
"A1_jumping",39
"A1_stamina",36
"A1_strength",36
"A1_long_shots",36
"A1_aggression",36
"A1_interceptions",36
"A1_positioning",36
"A1_vision",39
"A1_penalties",36
"A1_marking",36
"A1_standing_tackle",36
"A1_sliding_tackle",39
"A1_gk_diving",36
"A1_gk_handling",36
"A1_gk_kicking",36
"A1_gk_positioning",36
"A1_gk_reflexes",36
"H1_player_name",0
"H1_birthday",0
"H1_height",0
"H1_weight",0
"A1_player_name",0
"A1_birthday",0
"A1_height",0
"A1_weight",0
"H2_overall_rating",54
"H2_potential",54
"H2_preferred_foot",54
"H2_attacking_work_rate",107
"H2_defensive_work_rate",54
"H2_crossing",54
"H2_finishing",54
"H2_heading_accuracy",54
"H2_short_passing",54
"H2_volleys",94
"H2_dribbling",54
"H2_curve",94
"H2_free_kick_accuracy",54
"H2_long_passing",54
"H2_ball_control",54
"H2_acceleration",54
"H2_sprint_speed",54
"H2_agility",94
"H2_reactions",54
"H2_balance",94
"H2_shot_power",54
"H2_jumping",94
"H2_stamina",54
"H2_strength",54
"H2_long_shots",54
"H2_aggression",54
"H2_interceptions",54
"H2_positioning",54
"H2_vision",94
"H2_penalties",54
"H2_marking",54
"H2_standing_tackle",54
"H2_sliding_tackle",94
"H2_gk_diving",54
"H2_gk_handling",54
"H2_gk_kicking",54
"H2_gk_positioning",54
"H2_gk_reflexes",54
"A2_overall_rating",56
"A2_potential",56
"A2_preferred_foot",56
"A2_attacking_work_rate",113
"A2_defensive_work_rate",56
"A2_crossing",56
"A2_finishing",56
"A2_heading_accuracy",56
"A2_short_passing",56
"A2_volleys",98
"A2_dribbling",56
"A2_curve",98
"A2_free_kick_accuracy",56
"A2_long_passing",56
"A2_ball_control",56
"A2_acceleration",56
"A2_sprint_speed",56
"A2_agility",98
"A2_reactions",56
"A2_balance",98
"A2_shot_power",56
"A2_jumping",98
"A2_stamina",56
"A2_strength",56
"A2_long_shots",56
"A2_aggression",56
"A2_interceptions",56
"A2_positioning",56
"A2_vision",98
"A2_penalties",56
"A2_marking",56
"A2_standing_tackle",56
"A2_sliding_tackle",98
"A2_gk_diving",56
"A2_gk_handling",56
"A2_gk_kicking",56
"A2_gk_positioning",56
"A2_gk_reflexes",56
"H2_player_name",7
"H2_birthday",7
"H2_height",7
"H2_weight",7
"A2_player_name",8
"A2_birthday",8
"A2_height",8
"A2_weight",8
"H3_overall_rating",18
"H3_potential",18
"H3_preferred_foot",18
"H3_attacking_work_rate",25
"H3_defensive_work_rate",18
"H3_crossing",18
"H3_finishing",18
"H3_heading_accuracy",18
"H3_short_passing",18
"H3_volleys",24
"H3_dribbling",18
"H3_curve",24
"H3_free_kick_accuracy",18
"H3_long_passing",18
"H3_ball_control",18
"H3_acceleration",18
"H3_sprint_speed",18
"H3_agility",24
"H3_reactions",18
"H3_balance",24
"H3_shot_power",18
"H3_jumping",24
"H3_stamina",18
"H3_strength",18
"H3_long_shots",18
"H3_aggression",18
"H3_interceptions",18
"H3_positioning",18
"H3_vision",24
"H3_penalties",18
"H3_marking",18
"H3_standing_tackle",18
"H3_sliding_tackle",24
"H3_gk_diving",18
"H3_gk_handling",18
"H3_gk_kicking",18
"H3_gk_positioning",18
"H3_gk_reflexes",18
"A3_overall_rating",22
"A3_potential",22
"A3_preferred_foot",22
"A3_attacking_work_rate",27
"A3_defensive_work_rate",22
"A3_crossing",22
"A3_finishing",22
"A3_heading_accuracy",22
"A3_short_passing",22
"A3_volleys",26
"A3_dribbling",22
"A3_curve",26
"A3_free_kick_accuracy",22
"A3_long_passing",22
"A3_ball_control",22
"A3_acceleration",22
"A3_sprint_speed",22
"A3_agility",26
"A3_reactions",22
"A3_balance",26
"A3_shot_power",22
"A3_jumping",26
"A3_stamina",22
"A3_strength",22
"A3_long_shots",22
"A3_aggression",22
"A3_interceptions",22
"A3_positioning",22
"A3_vision",26
"A3_penalties",22
"A3_marking",22
"A3_standing_tackle",22
"A3_sliding_tackle",26
"A3_gk_diving",22
"A3_gk_handling",22
"A3_gk_kicking",22
